room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
3,1,1,69.19,6,1116,0,3,75155,520
3,2,1,119.19,6,865,2,2,38594,460
3,1,1,117.1,6,704,1,8,90521,1060
2,1,1,67.36,25,146,1,1,99466,670
2,1,1,106.14,7,,0,2,41455,440
3,1,1,70.41,6,1290,0,1,109359,770
2,1,1,60.49,16,457,3,4,88444,535
2,1,1,79.73,21,,4,2,34993,279
2,1,1,105.31,25,230,0,7,75017,790
1,1,1,43.33,6,414,3,1,71544,310
2,1,1,53.84,6,317,0,1,66865,360
3,1,1,109.64,16,348,1,1,61109,670
1,1,1,42.3,12,521,4,1,55556,235
4,2,2,151,8,,0,4,63576,960
2,1,1,54.2,5,829,2,2,82657,448
2,1,1,86.02,21,830,4,2,49988,430
2,1,1,71.77,26,528,0,3,86387,620
3,1,1,106.9,12,497,1,8,102900,1100
1,1,1,28.37,22,530,4,2,140289,398
2,1,1,89.49,26,541,1,1,82691,740
2,1,1,56.78,6,1051,3,4,77492,440
2,1,1,60.16,6,612,2,3,106383,640
2,1,1,61.52,6,609,0,1,109720,675
1,1,1,45.2,14,661,1,8,94690,428
1,1,1,66.55,25,816,0,5,54095,360
1,1,1,50.78,22,879,3,1,69909,355
3,1,1,76.1,17,228,6,1,61761,470
3,1,1,88.77,6,,2,6,41681,370
2,1,1,67.54,25,903,0,1,79953,540
1,1,1,47.36,16,1138,12,11,57010,270
2,1,1,91.71,7,,8,10,41980,385
2,1,1,74.97,15,1060,6,11,46018,345
3,1,1,78.91,20,739,2,14,86934,686
2,1,1,54.47,6,404,6,14,72517,395
2,1,1,86.38,29,510,6,15,47465,410
3,1,1,108.24,24,1102,3,12,69290,750
3,2,2,126.32,22,348,0,11,61748,780
2,1,1,64,14,591,12,15,109375,700
2,1,1,57.34,6,502,1,12,78479,450
2,1,1,60.8,16,1291,3,12,131414,799
2,1,1,59.64,6,489,0,10,75453,450
2,1,1,58.79,6,334,0,14,50689,298
2,1,1,64.92,20,966,4,12,55453,360
2,1,1,67.33,5,357,6,11,99510,670
2,1,1,50.89,6,1089,6,13,103164,525
2,1,1,86.12,6,1409,2,9,44705,385
2,1,1,58.54,6,396,8,9,53297,312
3,1,2,138,24,600,2,10,68841,950
2,1,1,67.3,4,914,1,10,104903,706
1,1,1,54.18,24,252,4,10,58140,315
1,1,1,40.89,6,109,19,7,66520,272
2,1,1,43.21,5,853,19,9,50451,218
2,2,1,97.78,14,835,1,9,48067,470
1,1,1,43.59,6,1108,1,14,68364,298
1,1,1,35.79,6,1150,18,10,55882,200
2,1,1,67.6,18,474,2,7,81805,553
2,1,1,68.77,6,594,2,16,64708,445
3,1,1,88.11,27,674,3,13,56293,496
2,1,1,107,28,509,2,15,57944,620
3,2,2,153.16,17,1272,1,11,41133,630
3,2,2,146.77,21,,3,6,68066,999
3,1,1,80.8,6,591,11,9,111386,900
2,1,1,59.56,6,992,9,8,53392,318
1,1,1,55.64,18,813,4,12,46729,260
2,1,1,84.59,30,356,2,15,53789,455
2,1,1,50.28,6,781,10,15,55688,280
1,1,1,56.58,9,558,10,8,53022,300
2,1,1,63.88,7,73,9,11,101753,650
2,1,1,42.94,5,411,12,8,85002,365
1,1,1,43.4,17,517,5,14,101382,440
3,1,1,87.33,6,487,7,10,77866,680
3,1,1,64.04,6,122,3,14,60899,390
2,1,1,50.1,6,633,3,17,80838,405
2,1,1,59,16,245,1,8,89831,530
3,1,1,86.7,6,,5,13,148789,1290
3,1,2,118.59,6,1443,21,11,32465,385
2,1,1,54.57,6,857,12,12,87960,480
2,2,2,97.34,7,1370,4,10,42120,410
2,1,1,65.64,18,153,15,9,58653,385
2,1,1,50.3,5,688,4,15,139165,700
2,1,1,50.2,7,1005,7,12,92629,465
1,1,1,42.25,7,528,4,9,73373,310
3,1,1,88.87,5,765,2,9,149657,1330
1,0,1,49.79,15,164,1,10,55232,275
2,2,1,98.86,18,990,2,9,52094,515
3,2,2,142.95,14,434,2,10,34837,498
2,1,1,73.81,19,,8,13,46742,345
2,1,1,58.49,6,616,2,11,71636,419
2,1,1,61.65,5,1090,3,10,85969,530
