room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
1,1,1,74.97,27,686,9,0,101374,760
1,1,1,76.29,15,835,3,0,91624,699
2,1,1,95.13,28,760,39,0,78839,750
3,1,1,74.5,6,1045,12,0,99060,738
1,1,1,43.65,6,554,3,0,132875,580
2,2,1,100.21,6,270,8,0,62868,630
3,2,1,106.75,24,691,3,0,68384,730
1,1,1,71.52,28,481,43,0,54530,390
2,2,2,121.95,11,1154,0,0,52317,638
2,1,1,103.16,21,1020,4,0,51377,530
3,1,1,76.52,18,772,14,0,99320,760
3,2,2,151.1,22,1277,1,0,105890,1600
3,1,1,154.1,21,133,5,0,38936,600
2,2,1,109.21,9,,1,0,64005,699
3,1,1,58.6,6,936,12,0,119113,698
2,1,1,95.21,14,289,8,0,77198,735
2,2,2,123.83,24,744,6,0,53703,665
2,1,1,96.77,23,,3,0,41852,405
2,2,1,110.45,16,445,7,0,71526,790
2,1,1,78.28,18,690,2,0,70899,555
3,2,2,128.29,6,869,1,0,38896,499
2,1,1,54.17,6,815,3,0,67934,368
4,2,2,146.73,5,557,2,0,121311,1780
1,1,1,62.68,35,1083,2,0,57435,360
2,1,1,64.48,6,617,3,1,62035,400
2,2,2,111.59,25,516,1,0,64522,720
4,3,2,130.88,11,993,2,0,114609,1500
3,2,2,111.87,6,1296,2,0,47376,530
2,1,1,60.5,6,284,95,0,49421,299
3,1,1,80.4,14,285,9,0,77114,620
2,2,1,106.08,21,588,6,0,72587,770
4,2,2,153.52,27,604,0,0,91193,1400
2,1,1,81.73,6,1044,24,0,47718,390
2,1,1,67.09,15,517,18,0,83470,560
1,1,1,57.54,27,421,2,0,64303,370
2,1,1,56.1,6,1085,1,0,108734,610
2,1,1,95.01,10,,0,0,44943,427
2,1,1,85.86,9,610,0,0,122292,1050
2,2,1,88.81,19,911,0,0,45040,400
1,1,1,49.72,6,958,3,0,76428,380
3,2,1,112.04,21,306,0,0,71403,800
