direct,actor,date,long,type,rate,comment_sum,name,money,year,country
顾长卫,杨颖,2014-12-24,98.0,喜剧 ,4.6,63873.0,微爱之渐入佳境,28637,2014,cn
徐克,刘德华,2010-09-29,123.0,动作 ,6.5,178581.0,狄仁杰之通天帝国,28620,2010,cn
吕乐,姚晨,2018-10-05,102.0,剧情,7.5,53720.0,找到你,28450,2018,cn
刘江,高圆圆,2015-04-02,127.0,喜剧 ,5.9,65606.0,咱们结婚吧,28449,2015,cn
王子鸣,文章,2013-06-21,98.0,喜剧 ,4.6,106438.0,不二神探,28401,2013,cn
许安,李连杰,2016-07-29,109.0,剧情 ,2.9,45337.0,封神传奇,28397,2016,cn
吴宇森,梁朝伟,2008-07-10,,剧情 ,6.3,132440.0,赤壁(上),27686,2008,cn
徐静蕾,吴亦凡,2015-02-10,109.0,爱情,4.9,125150.0,有一个地方只有我们知道,28365,2015,cn
陈德森,甄子丹,2009-12-18,,剧情 ,7.7,235945.0,十月围城,27970,2009,cn
林玉芬,郑爽,,45.0,剧情 ,6.5,89036.0,微微一笑很倾城,27585,2016,cn
陈正道,徐峥,2014-04-29,104.0,剧情 ,7.6,239090.0,催眠大师,27389,2014,cn
路阳,张震,2017-07-19,120.0,剧情 ,7.2,240463.0,绣春刀·修罗战场,26569,2017,cn
管虎,刘烨,2013-03-29,108.0,喜剧 ,7.0,180081.0,厨子戏子痞子,27284,2013,cn
包贝尔,文章,2018-09-30,,喜剧 ,3.9,14504.0,胖子行动队,26081,2018,cn
王晶,刘德华,2016-09-30,102.0,喜剧 ,3.3,28402.0,王牌逗王牌,26034,2016,cn
冯小刚,葛优,2008-12-18,130.0,喜剧 ,7.1,288571.0,非诚勿扰,26000,2008,cn
宁浩,徐峥,2013-12-03,117.0,剧情 ,8.2,308828.0,无人区,25963,2013,cn
袁和平,甄子丹,2016-02-19,103.0,剧情 ,4.7,29732.0,卧虎藏龙：青冥宝剑,25625,2016,cn
田羽生,郑恺,2015-11-06,114.0,喜剧 ,5.0,60992.0,前任2：备胎反击战,25200,2015,cn
丁亮 ,张秉君,2014-01-17,95.0,喜剧 ,6.5,13588.0,熊出没之夺宝熊兵,24808,2014,cn
埃里克松·科尔,卢克·布雷西,2015-12-04,113.0,动作 ,6.9,71325.0,极盗者,24855,2015,cn
张艺谋,小沈阳,2009-12-11,,剧情,4.6,80814.0,三枪拍案惊奇,24388,2009,cn
吴宇森,梁朝伟,2009-01-08,,剧情 ,6.4,101785.0,赤壁(下),24354,2009,cn
陈木胜,刘青云,2013-11-29,134.0,剧情 ,7.3,133001.0,扫毒,23791,2013,cn
冯德伦,刘德华,2017-08-11,108.0,动作 ,5.2,47607.0,侠盗联盟,23687,2017,cn
吴有音,赵又廷,2018-02-01,117.0,爱情 ,6.7,67844.0,南极之恋,23448,2018,cn
麦兆辉 ,梁朝伟,2012-08-07,120.0,剧情 ,6.8,156373.0,听风者,23220,2012,cn
叶伟信,甄子丹,2010-04-27,108.0,动作 ,7.2,155362.0,叶问2：宗师传奇,23111,2010,cn
邹佡,谢霆锋,2014-09-05,106.0,爱情,5.1,77920.0,一生一世,22851,2014,cn
彭浩翔,周迅,2014-11-28,95.0,喜剧 ,5.7,138602.0,撒娇女人最好命,23049,2014,cn
饶晓志,陈建斌,2018-11-16,108.0,剧情 ,8.3,97408.0,无名之辈,22636,2018,cn
徐纪周,邓超,2017-12-22,124.0,动作 ,5.9,90764.0,心理罪之城市之光,22409,2017,cn
谢涤葵 ,黄磊,2015-02-19,96.0,喜剧 ,4.5,15858.0,爸爸去哪儿2,22352,2015,cn
韩杰,王俊凯,2017-12-29,109.0,剧情 ,5.0,84855.0,解忧杂货店,22305,2017,cn
钱人豪,张智霖,2017-07-06,93.0,剧情 ,3.8,20008.0,京城81号2,21887,2017,cn
彭三源,刘德华,2015-03-20,108.0,剧情,6.5,64011.0,失孤,21618,2015,cn
安相勋,杨幂,2015-10-30,112.0,剧情 ,6.1,93304.0,我是证人,21527,2015,cn
杜琪峰,刘德华,2013-07-04,129.0,喜剧 ,7.1,144766.0,盲探,21420,2013,cn
渡边信一郎,山寺宏一,,25.0,剧情 ,9.6,32096.0,赏金猎人,21351,2016,cn
陈木胜,刘德华,2011-01-19,132.0,剧情 ,5.9,88048.0,新少林寺,21258,2011,cn
许宏宇,金城武,2017-04-27,106.0,喜剧 ,6.8,197259.0,喜欢你,21075,2017,cn
林德禄 ,古天乐,2016-09-14,95.0,剧情 ,5.4,32844.0,反贪风暴2,20909,2016,cn
梁乐民 ,张学友,2015-04-30,119.0,剧情 ,6.0,76442.0,赤道,20974,2015,cn
麦兆辉 ,古天乐,2011-08-18,117.0,剧情 ,7.5,171757.0,窃听风云2,20896,2011,cn
黄真真,薛凯琪,2018-03-02,109.0,喜剧 ,2.6,14900.0,闺蜜,20494,2014,cn
陈国富 ,周迅,2009-09-29,118.0,剧情 ,8.1,310981.0,风声,20519,2009,cn
肖央,肖央,2014-07-10,114.0,剧情 ,5.7,104287.0,老男孩之猛龙过江,20887,2014,cn
陈嘉上 ,甄子丹,2008-09-26,103.0,剧情 ,6.6,281107.0,画皮,20471,2008,cn
尹鸿承,杨幂,2017-06-29,106.0,动作 ,4.8,47799.0,逆时营救,20123,2017,cn
蔡岳勋,赵又廷,2014-10-01,126.0,剧情 ,5.5,38966.0,痞子英雄2：黎明升起,20429,2014,cn
小沈阳,小沈阳,2018-06-15,99.0,喜剧 ,3.7,27355.0,猛虫过江,20361,2018,cn
赵薇,杨子姗,2013-04-26,132.0,剧情 ,6.6,366601.0,致我们终将逝去的青春,71918,2013,cn
卫铁,,2018-03-02,90.0,纪录片,,,厉害了，我的国,48056,2018,cn
韩三平 ,刘烨,2011-06-15,124.0,剧情 ,,,建党伟业,41041,2011,cn
刘伟强,刘烨,2017-07-27,133.0,剧情 ,,,建军大业,40348,2017,cn
韩三平 ,唐国强,2009-09-16,138.0,剧情 ,,,建国大业,39334,2009,cn
安东尼·罗素 ,小罗伯特·唐尼,2018-05-11,150.0,动作 ,8.1,425924.0,复仇者联盟3：无限战争,239053,2018,usa
迈克尔·贝,马克·沃尔伯格,2014-06-27,166.0,动作 ,6.5,215446.0,变形金刚4：绝迹重生,197752,2014,usa
温子仁,范·迪塞尔,2015-04-12,137.0,动作 ,8.3,293569.0,速度与激情7,242659,2015,usa
F·加里·格雷,范·迪塞尔,2017-04-14,136.0,动作 ,7.0,225089.0,速度与激情8,267096,2017,usa
