范·迪塞尔,1612
肯尼思·布拉纳,0
安妮·海瑟薇,2789
尼古拉·科斯特-瓦尔道,0
奥丽伊·卡瓦洛,0
艾伦·艾克哈特,198
米娅·华希科沃斯卡,454
劳米·拉佩斯,192
亚当·桑德勒,375
艾米莉·布朗特,515
詹妮弗·劳伦斯,1482
西尔维斯特·史泰龙,483
马修·麦康纳,587
波伊德·霍布鲁克,0
杰瑞米·雷纳,530
威尔·史密斯,1467
布鲁斯·威利斯,858
迪伦·奥布莱恩,0
斯嘉丽·约翰逊,3209
比利·克里斯托,35
雅各布·特伦布莱,396
小罗伯特·唐尼,2309
詹姆斯·弗兰科,781
范·迪塞尔,1612
查宁·塔图姆,336
詹妮弗·劳伦斯,1482
小罗伯特·唐尼,2309
黛米·洛瓦托,124
杰夫·布里吉斯,197
本·斯蒂勒,355
吉姆·帕森斯,1114
萨姆·沃辛顿,377
约翰·塞纳,685
乔·阿尔文,0
詹姆斯·柯登,0
詹妮弗·劳伦斯,1482
